,us_cpi,us_inflation,us_gdp,us_m2,eu_gdp,uk_cpi,uk_inflation,uk_gdp,uk_m2,jp_cpi,jp_inflation,jp_gdp,jp_m2,hk_cpi,hk_inflation,hk_gdp,au_cpi,au_inflation,au_gdp,au_m2
2000-01-10,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-11,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-12,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-13,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-14,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-17,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-18,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-19,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-20,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-21,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-24,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-25,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-26,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-27,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-28,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-01-31,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
2000-02-01,78.9707207568715,3.37685727149929,10250947997000.0,7023352000000.0,7288481048952.25,81.4684668022933,1.18295624210408,1671597821152.97,1036128000000.0,102.667615077547,-0.676578683595175,4968359075956.59,1226522100000000.0,95.8964075254482,-3.68550368550369,171668891194.349,74.3756549681352,4.45743705920869,416901962163.479,447441725000.0
